source,column_index,raw_name,normalized_name,canonical_name,prs_tool_symbol,mapping_method,confidence,note
GCST90038646,0,hm_variant_id,hm_variant_id,variant_id,SNP,alias,0.95,
GCST90038646,1,hm_rsid,hm_rsid,variant_id,SNP,alias,0.95,
GCST90038646,2,hm_chrom,hm_chrom,chromosome,CHR,alias,0.95,
GCST90038646,3,hm_pos,hm_pos,position,BP,alias,0.95,
GCST90038646,4,hm_other_allele,hm_other_allele,other_allele,A2,alias,0.95,
GCST90038646,5,hm_effect_allele,hm_effect_allele,effect_allele,A1,alias,0.95,
GCST90038646,6,hm_beta,hm_beta,beta,BETA,alias,0.95,
GCST90038646,7,hm_odds_ratio,hm_odds_ratio,odds_ratio,OR,alias,0.95,
GCST90038646,8,hm_ci_lower,hm_ci_lower,confidence_interval_lower,CIL,alias,0.95,
GCST90038646,9,hm_ci_upper,hm_ci_upper,confidence_interval_upper,CIU,alias,0.95,
GCST90038646,10,hm_effect_allele_frequency,hm_effect_allele_frequency,effect_allele_frequency,EAF,alias,0.95,
GCST90038646,11,hm_code,hm_code,unknown,,unknown,0.0,"no canonical concept, curated alias or heuristic matched"
GCST90038646,12,variant_id,variant_id,variant_id,SNP,canonical,1.0,
GCST90038646,13,chromosome,chromosome,chromosome,CHR,canonical,1.0,
GCST90038646,14,base_pair_location,base_pair_location,position,BP,alias,0.95,
GCST90038646,15,effect_allele,effect_allele,effect_allele,A1,canonical,1.0,
GCST90038646,16,other_allele,other_allele,other_allele,A2,canonical,1.0,
GCST90038646,17,effect_allele_frequency,effect_allele_frequency,effect_allele_frequency,EAF,canonical,1.0,
GCST90038646,18,beta,beta,beta,BETA,canonical,1.0,
GCST90038646,19,standard_error,standard_error,standard_error,SE,canonical,1.0,
GCST90038646,20,p_value,p_value,p_value,P,canonical,1.0,
GCST90038646,21,odds_ratio,odds_ratio,odds_ratio,OR,canonical,1.0,
GCST90038646,22,ci_lower,ci_lower,confidence_interval_lower,CIL,alias,0.95,
GCST90038646,23,ci_upper,ci_upper,confidence_interval_upper,CIU,alias,0.95,
